-agu:-ugaseru
-iru:-usu
つきる	尽きる	つくす	尽くす
-naru:-su
なくなる	なくなる	なくす	なくす
なくなる	亡くなる	なくす	亡くす
-oru:-eru
うもる	埋もる	うめる	埋める
ぬくもる	ぬくもる	ぬくめる	ぬくめる
ぬくもる	温もる	ぬくめる	温める
こもる	こもる	こめる	こめる
こもる	籠もる	こめる	籠める
うずもる	うずもる	うずめる	うずめる
うずもる	埋もる	うずめる	埋める
-ou:-waseru
うるおう	潤う	うるわせる	潤わせる
-ou:-wasu
うるおう	潤う	うるわす	潤わす
-owaru:-ieru
おそわる	教わる	おしえる	教える
-reru:-seru
もたれる	もたれる	もたせる	もたせる
もたれる	凭れる	もたせる	凭せる
-reru:-su
たおれる	倒れる	たおす	倒す
たおれる	斃れる	たおす	斃す
けがれる	汚れる	けがす	汚す
けがれる	穢れる	けがす	穢す
ながれる	流れる	ながす	流す
のがれる	逃れる	のがす	逃す
はがれる	はがれる	はがす	はがす
はがれる	剥がれる	はがす	剥がす
かくれる	隠れる	かくす	隠す
ほぐれる	ほぐれる	ほぐす	ほぐす
ほぐれる	解れる	ほぐす	解す
よごれる	汚れる	よごす	汚す
くずれる	くずれる	くずす	くずす
くずれる	崩れる	くずす	崩す
はずれる	はずれる	はずす	はずす
はずれる	外れる	はずす	外す
みだれる	乱れる	みだす	乱す
こなれる	こなれる	こなす	こなす
こなれる	熟れる	こなす	熟す
はなれる	放れる	はなす	放す
はなれる	離れる	はなす	離す
つぶれる	つぶれる	つぶす	つぶす
つぶれる	潰れる	つぶす	潰す
こぼれる	こぼれる	こぼす	こぼす
こぼれる	溢れる	こぼす	溢す
こぼれる	零れる	こぼす	零す
むれる	蒸れる	むす	蒸す
こわれる	壊れる	こわす	壊す
こわれる	毀れる	こわす	毀す
あらわれる	現れる	あらわす	現す
あらわれる	表れる	あらわす	表す
あらわれる	顕れる	あらわす	顕す
-reru:-tu
わかれる	分かれる	わかつ	分かつ
-ru:-aseru
ねる	寝る	ねかせる	寝かせる
-ru:-asu
ねる	寝る	ねかす	寝かす
-ru:-eru
にる	煮る	にえる	煮える	i
みる	見る	みえる	見える	i
-ru:-seru
きる	着る	きせる	着せる
にる	似る	にせる	似せる
ねる	寝る	ねせる	寝せる
のる	乗る	のせる	乗せる
のる	載る	のせる	載せる
あびる	浴びる	あびせる	浴びせる
かぶる	かぶる	かぶせる	かぶせる
かぶる	被る	かぶせる	被せる
からまる	からまる	からませる	からませる
からまる	絡まる	からませる	絡ませる
みる	見る	みせる	見せる
よる	寄る	よせる	寄せる
-ru:-su
かえる	かえる	かえす	かえす
かえる	孵る	かえす	孵す
かえる	帰る	かえす	帰す
かえる	返る	かえす	返す
かえる	還る	かえす	還す
くつがえる	覆る	くつがえす	覆す
ひるがえる	翻る	ひるがえす	翻す
とおる	透る	とおす	透す
とおる	通る	とおす	通す
なおる	治る	なおす	治す
なおる	直る	なおす	直す
ちらかる	ちらかる	ちらかす	ちらかす
ちらかる	散らかる	ちらかす	散らかす
ころがる	転がる	ころがす	転がす
おこる	熾る	おこす	熾す
おこる	興る	おこす	興す
おこる	起こる	おこす	起こす
のこる	残る	のこす	残す
のこる	遺る	のこす	遺す
にごる	濁る	にごす	濁す
ひたる	ひたる	ひたす	ひたす
ひたる	浸る	ひたす	浸す
わたる	渡る	わたす	渡す
くだる	下る	くだす	下す
くだる	降る	くだす	降す
うつる	うつる	うつす	うつす
うつる	写る	うつす	写す
うつる	映る	うつす	映す
うつる	移る	うつす	移す
うつる	遷る	うつす	遷す
もどる	もどる	もどす	もどす
もどる	戻る	もどす	戻す
やどる	宿る	やどす	宿す
なる	なる	なす	なす
なる	成る	なす	成す
なる	為る	なす	為す
いぶる	いぶる	いぶす	いぶす
いぶる	燻る	いぶす	燻す
かぶる	かぶる	かぶす	かぶす
かぶる	被る	かぶす	被す
あまる	余る	あます	余す
からまる	からまる	からます	からます
からまる	絡まる	からます	絡ます
しめる	湿る	しめす	湿す
ともる	ともる	ともす	ともす
ともる	灯る	ともす	灯す
ともる	点る	ともす	点す
まわる	回る	まわす	回す
まわる	廻る	まわす	廻す
-u:-areru
うむ	生む	うまれる	生まれる	i
-u:-aru
つたう	伝う	つたわる	伝わる	i
ふさぐ	ふさぐ	ふさがる	ふさがる	i
ふさぐ	塞ぐ	ふさがる	塞がる	i
さす	刺す	ささる	刺さる	i
-u:-aseru
あう	合う	あわせる	合わせる
におう	におう	におわせる	におわせる
におう	匂う	におわせる	匂わせる
におう	臭う	におわせる	臭わせる
くう	食う	くわせる	食わせる
まどう	惑う	まどわせる	惑わせる
すまう	住まう	すまわせる	住まわせる
くらう	くらう	くらわせる	くらわせる
くらう	食らう	くらわせる	食らわせる
わずらう	わずらう	わずらわせる	わずらわせる
わずらう	煩う	わずらわせる	煩わせる
わらう	笑う	わらわせる	笑わせる
うく	浮く	うかせる	浮かせる
せく	せく	せかせる	せかせる
せく	急く	せかせる	急かせる
のぞく	のぞく	のぞかせる	のぞかせる
のぞく	覗く	のぞかせる	覗かせる
ひくつく	ひくつく	ひくつかせる	ひくつかせる
ひくつく	ヒクつく	ひくつかせる	ヒクつかせる
ばたつく	ばたつく	ばたつかせる	ばたつかせる
ばたつく	バタつく	ばたつかせる	バタつかせる
ちらつく	ちらつく	ちらつかせる	ちらつかせる
ちらつく	チラつく	ちらつかせる	チラつかせる
ふく	吹く	ふかせる	吹かせる
はたらく	働く	はたらかせる	働かせる
とどろく	とどろく	とどろかせる	とどろかせる
とどろく	轟く	とどろかせる	轟かせる
ゆるぐ	揺るぐ	ゆるがせる	揺るがせる
さわぐ	騒ぐ	さわがせる	騒がせる
しのぶ	しのぶ	しのばせる	しのばせる
