-aru:-eru
#かかる	かかる	かける	かける
#さす	刺す	ささる	刺さる	i
つきさす	突き刺す	つきささる	突き刺さる	i
ぶっさす	ぶっ刺す	ぶっささる	ぶっ刺さる	i
-u:-aseru
#あう	合う	あわせる	合わせる
かみあう	かみ合う	かみあわせる	かみ合わせる
かみあう	噛み合う	かみあわせる	噛み合わせる
かよいあう	通い合う	かよいあわせる	通い合わせる
からみあう	からみ合う	からみあわせる	からみ合わせる
からみあう	絡み合う	からみあわせる	絡み合わせる
くみあう	組み合う	くみあわせる	組み合わせる
さそいあう	誘い合う	さそいあわせる	誘い合わせる
となりあう	隣り合う	となりあわせる	隣り合わせる
にらみあう	にらみ合う	にらみあわせる	にらみ合わせる
にらみあう	睨み合う	にらみあわせる	睨み合わせる
のりあう	乗り合う	のりあわせる	乗り合わせる
むかいあう	向かい合う	むかいあわせる	向かい合わせる
むすびあう	結び合う	むすびあわせる	結び合わせる
#しる	知る	しらせる	知らせる
おもいしる	思い知る	おもいしらせる	思い知らせる
-u:-asu
#あう	合う	あわす	合わす
かみあう	かみ合う	かみあわす	かみ合わす
かみあう	噛み合う	かみあわす	噛み合わす
くみあう	組み合う	くみあわす	組み合わす
となりあう	隣り合う	となりあわす	隣り合わす
のりあう	乗り合う	のりあわす	乗り合わす
むかいあう	向かい合う	むかいあわす	向かい合わす
むすびあう	結び合う	むすびあわす	結び合わす
#うごく	動く	うごかす	動かす
ゆりうごく	揺り動く	ゆりうごかす	揺り動かす
ゆれうごく	揺れ動く	ゆれうごかす	揺れ動かす
#とぶ	飛ぶ	とばす	飛ばす
かっとぶ	かっ飛ぶ	かっとばす	かっ飛ばす
かっとぶ	カッ飛ぶ	かっとばす	カッ飛ばす
けしとぶ	消し飛ぶ	けしとばす	消し飛ばす
すっとぶ	すっ飛ぶ	すっとばす	すっ飛ばす
はじきとぶ	はじき飛ぶ	はじきとばす	はじき飛ばす
はじきとぶ	弾き飛ぶ	はじきとばす	弾き飛ばす
はねとぶ	はね飛ぶ	はねとばす	はね飛ばす
はねとぶ	跳ね飛ぶ	はねとばす	跳ね飛ばす
ふきとぶ	吹き飛ぶ	ふきとばす	吹き飛ばす
ふっとぶ	ふっ飛ぶ	ふっとばす	ふっ飛ばす
ふっとぶ	吹っ飛ぶ	ふっとばす	吹っ飛ばす
ぶっとぶ	ぶっ飛ぶ	ぶっとばす	ぶっ飛ばす
#しる	知る	しらす	知らす
おもいしる	思い知る	おもいしらす	思い知らす
#そる	そる	そらす	そらす
のけぞる	のけぞる	のけぞらす	のけぞらす
#そる	反る	そらす	反らす
のけぞる	のけ反る	のけぞらす	のけ反らす
のけぞる	仰け反る	のけぞらす	仰け反らす
#ちる	散る	ちらす	散らす
ふきちる	吹き散る	ふきちらす	吹き散らす
#へる	減る	へらす	減らす
すりへる	すり減る	すりへらす	すり減らす
すりへる	磨り減る	すりへらす	磨り減らす
-u:-eru
#そろう	そろう	そろえる	そろえる
とりそろう	取りそろう	とりそろえる	取りそろえる
#そろう	揃う	そろえる	揃える
とりそろう	取り揃う	とりそろえる	取り揃える
#つく	つく	つける	つける
いきおいづく	勢いづく	いきおいづける	勢いづける
おっつく	おっつく	おっつける	おっつける
かたづく	片づく	かたづける	片づける
からみつく	からみつく	からみつける	からみつける
からみつく	絡みつく	からみつける	絡みつける
きずつく	傷つく	きずつける	傷つける
くっつく	くっつく	くっつける	くっつける
すいつく	吸いつく	すいつける	吸いつける
ちかづく	近づく	ちかづける	近づける
とっつく	とっつく	とっつける	とっつける
はっつく	はっつく	はっつける	はっつける
はりつく	張りつく	はりつける	張りつける
はりつく	貼りつく	はりつける	貼りつける
ひっつく	ひっつく	ひっつける	ひっつける
まきつく	巻きつく	まきつける	巻きつける
むすびつく	結びつく	むすびつける	結びつける
やきつく	焼きつく	やきつける	焼きつける
#つく	付く	つける	付ける
いきおいづく	勢い付く	いきおいづける	勢い付ける
かたづく	片付く	かたづける	片付ける
からみつく	絡み付く	からみつける	絡み付ける
きずつく	傷付く	きずつける	傷付ける
すいつく	吸い付く	すいつける	吸い付ける
ちかづく	近付く	ちかづける	近付ける
とっつく	取っ付く	とっつける	取っ付ける
はっつく	貼っ付く	はっつける	貼っ付ける
はりつく	張り付く	はりつける	張り付ける
はりつく	貼り付く	はりつける	貼り付ける
ひっつく	引っ付く	ひっつける	引っ付ける
まきつく	巻き付く	まきつける	巻き付ける
むすびつく	結び付く	むすびつける	結び付ける
やきつく	焼き付く	やきつける	焼き付ける
#つく	着く	つける	着ける
おちつく	落ち着く	おちつける	落ち着ける
こぎつく	こぎ着く	こぎつける	こぎ着ける
こぎつく	漕ぎ着く	こぎつける	漕ぎ着ける
#ぬく	抜く	ぬける	抜ける	i
ふみぬく	踏み抜く	ふみぬける	踏み抜ける	i
#のく	のく	のける	のける
とおのく	遠のく	とおのける	遠のける
#のく	退く	のける	退ける
とおのく	遠退く	とおのける	遠退ける
#むく	むく	むける	むける	i
すりむく	すりむく	すりむける	すりむける	i
すりむく	擦りむく	すりむける	擦りむける	i
#むく	剥く	むける	剥ける	i
すりむく	すり剥く	すりむける	すり剥ける	i
すりむく	擦り剥く	すりむける	擦り剥ける	i
#むく	向く	むける	向ける
あおむく	あお向く	あおむける	あお向ける
あおむく	仰向く	あおむける	仰向ける
うつむく	うつむく	うつむける	うつむける
うわむく	上向く	うわむける	上向ける
ふりむく	振り向く	ふりむける	振り向ける
#ひらく	開く	ひらける	開ける	i
きりひらく	切り開く	きりひらける	切り開ける	i
#たつ	勃つ	たてる	勃てる
おったつ	おっ勃つ	おったてる	おっ勃てる
#たつ	立つ	たてる	立てる
あわだつ	泡立つ	あわだてる	泡立てる
いらだつ	いら立つ	いらだてる	いら立てる
いらだつ	苛立つ	いらだてる	苛立てる
おったつ	おっ立つ	おったてる	おっ立てる
かどだつ	角立つ	かどだてる	角立てる
さかだつ	逆立つ	さかだてる	逆立てる
つきたつ	突き立つ	つきたてる	突き立てる
にたつ	煮立つ	にたてる	煮立てる
ひきたつ	引き立つ	ひきたてる	引き立てる
やくだつ	役立つ	やくだてる	役立てる
#うかぶ	浮かぶ	うかべる	浮かべる
おもいうかぶ	思い浮かぶ	おもいうかべる	思い浮かべる
#ならぶ	並ぶ	ならべる	並べる
おしならぶ	押し並ぶ	おしならべる	押し並べる
#こむ	こむ	こめる	こめる
おしこむ	押しこむ	おしこめる	押しこめる	-
とじこむ	綴じこむ	とじこめる	綴じこめる	-
ぬりこむ	塗りこむ	ぬりこめる	塗りこめる	-
ねりこむ	練りこむ	ねりこめる	練りこめる	-
ひっこむ	ひっこむ	ひっこめる	ひっこめる
ひっこむ	引っこむ	ひっこめる	引っこめる
ふうじこむ	封じこむ	ふうじこめる	封じこめる	-
#こむ	込む	こめる	込める
おしこむ	押し込む	おしこめる	押し込める
とじこむ	綴じ込む	とじこめる	綴じ込める
ぬりこむ	塗り込む	ぬりこめる	塗り込める
ねりこむ	練り込む	ねりこめる	練り込める
ひっこむ	引っ込む	ひっこめる	引っ込める
ふうじこむ	封じ込む	ふうじこめる	封じ込める
#すすむ	進む	すすめる	進める
あみすすむ	編み進む	あみすすめる	編み進める	-
かきすすむ	書き進む	かきすすめる	書き進める	-
かちすすむ	勝ち進む	かちすすめる	勝ち進める	-
こぎすすむ	こぎ進む	こぎすすめる	こぎ進める	-
こぎすすむ	漕ぎ進む	こぎすすめる	漕ぎ進める	-
つきすすむ	つき進む	つきすすめる	つき進める	-
つきすすむ	突き進む	つきすすめる	突き進める	-
ほりすすむ	彫り進む	ほりすすめる	彫り進める	-
ほりすすむ	掘り進む	ほりすすめる	掘り進める	-
よみすすむ	読み進む	よみすすめる	読み進める	-
#いる	入る	いれる	入れる
ふみいる	踏み入る	ふみいれる	踏み入れる
#おる	折る	おれる	折れる	i
へしおる	へし折る	へしおれる	へし折れる	i
#きる	切る	きれる	切れる	i
うりきる	売り切る	うりきれる	売り切れる	i
すりきる	すり切る	すりきれる	すり切れる	i
すりきる	擦り切る	すりきれる	擦り切れる	i
たちきる	断ち切る	たちきれる	断ち切れる	i
ちぎる	千切る	ちぎれる	千切れる	i
ちょんぎる	ちょん切る	ちょんぎれる	ちょん切れる	i
ふっきる	ふっ切る	ふっきれる	ふっ切れる	i
ふっきる	吹っ切る	ふっきれる	吹っ切れる	i
ふりきる	振り切る	ふりきれる	振り切れる	i
やききる	焼き切る	やききれる	焼き切れる	i
#ちぎる	ちぎる	ちぎれる	ちぎれる	i
ひきちぎる	引きちぎる	ひきちぎれる	引きちぎれる	i
#ちぎる	千切る	ちぎれる	千切れる
ひきちぎる	引き千切る	ひきちぎれる	引き千切れる
#しる	知る	しれる	知れる	i
うかがいしる	うかがい知る	うかがいしれる	うかがい知れる	i
うかがいしる	窺い知る	うかがいしれる	窺い知れる	i
はかりしる	はかり知る	はかりしれる	はかり知れる	i
はかりしる	計り知る	はかりしれる	計り知れる	i
-u:-oeru
#きく	聞く	きこえる	聞こえる	i
もれきく	漏れ聞く	もれきこえる	漏れ聞こえる	i
